league,season,match_id,date,home_team,away_team,home_goals,away_goals,h_a,team,shot_id,minute,result,player,player_id,player_assisted,situation,shotType,lastAction,X,Y,xG
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,a,Leicester,112235,2,BlockedShot,Demarai Gray,762,,OpenPlay,RightFoot,BallRecovery,0.7290000152587891,0.6530000305175782,0.0139600997790694
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,h,Hull,112236,5,MissedShots,Curtis Davies,1686,Robert Snodgrass,FromCorner,Head,Aerial,0.9159999847412108,0.585,0.0168718993663787
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,a,Leicester,112237,10,MissedShots,Demarai Gray,762,,OpenPlay,RightFoot,None,0.7980000305175782,0.6969999694824218,0.0208726990967988
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,a,Leicester,112238,18,MissedShots,Riyad Mahrez,750,Jamie Vardy,OpenPlay,RightFoot,Pass,0.915,0.34,0.079452097415924
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,a,Leicester,112239,21,MissedShots,Daniel Drinkwater,752,,OpenPlay,LeftFoot,None,0.765,0.505,0.026444399729371
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,a,Leicester,112240,23,BlockedShot,Demarai Gray,762,Wes Morgan,OpenPlay,RightFoot,Pass,0.725,0.4879999923706055,0.0202069003134965
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,a,Leicester,112241,24,MissedShots,Daniel Drinkwater,752,Riyad Mahrez,OpenPlay,RightFoot,Pass,0.901999969482422,0.3240000152587891,0.0620124004781246
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,h,Hull,112242,29,MissedShots,Robert Snodgrass,1691,,DirectFreekick,LeftFoot,Standard,0.7580000305175781,0.1879999923706054,0.031149199232459
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,h,Hull,112243,33,MissedShots,Abel Hernández,1698,,OpenPlay,LeftFoot,None,0.8390000152587891,0.3240000152587891,0.0393792986869812
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,a,Leicester,112244,40,SavedShot,Christian Fuchs,749,Ahmed Musa,OpenPlay,LeftFoot,Throughball,0.916999969482422,0.5670000076293945,0.4425620138645172
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,a,Leicester,112245,40,BlockedShot,Jamie Vardy,755,,OpenPlay,RightFoot,Rebound,0.919000015258789,0.4929999923706055,0.4856919944286346
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,a,Leicester,112246,40,MissedShots,Riyad Mahrez,750,Ahmed Musa,OpenPlay,LeftFoot,TakeOn,0.8590000152587891,0.524000015258789,0.1166450008749961
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,h,Hull,112247,41,MissedShots,Robert Snodgrass,1691,Adama Diomande,OpenPlay,LeftFoot,Pass,0.7480000305175781,0.3240000152587891,0.0155699998140335
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,a,Leicester,112248,42,MissedShots,Jamie Vardy,755,Ahmed Musa,OpenPlay,RightFoot,Pass,0.89,0.474000015258789,0.3912470042705536
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,h,Hull,112249,45,SavedShot,Curtis Davies,1686,Robert Snodgrass,FromCorner,Head,Cross,0.9230000305175782,0.605999984741211,0.0335413999855518
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,h,Hull,112250,45,MissedShots,Abel Hernández,1698,,FromCorner,LeftFoot,None,0.973000030517578,0.4429999923706054,0.1279650032520294
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,h,Hull,112251,45,Goal,Adama Diomande,1694,Abel Hernández,FromCorner,RightFoot,Rebound,0.9719999694824218,0.434000015258789,0.1425379961729049
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,a,Leicester,112252,46,Goal,Riyad Mahrez,750,,Penalty,LeftFoot,Standard,0.885,0.5,0.7611690163612366
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,h,Hull,112253,55,SavedShot,Abel Hernández,1698,,OpenPlay,LeftFoot,None,0.953000030517578,0.6619999694824219,0.0623175017535686
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,h,Hull,112254,56,Goal,Robert Snodgrass,1691,,OpenPlay,LeftFoot,None,0.8619999694824219,0.48,0.0790567994117736
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,h,Hull,112255,59,BlockedShot,Robert Snodgrass,1691,,DirectFreekick,LeftFoot,Standard,0.7719999694824219,0.4970000076293945,0.085928201675415
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,a,Leicester,112256,60,MissedShots,Ahmed Musa,1681,,OpenPlay,RightFoot,None,0.8180000305175781,0.61,0.0402842983603477
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,a,Leicester,112257,61,MissedShots,Ahmed Musa,1681,Daniel Drinkwater,OpenPlay,RightFoot,Chipped,0.7519999694824219,0.2589999961853027,0.0101902997121214
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,h,Hull,112258,66,MissedShots,Tom Huddlestone,1695,,DirectFreekick,RightFoot,Standard,0.700999984741211,0.5279999923706055,0.0381554998457431
EPL,2016,461,2016-08-13 15:30:00,Hull,Leicester,2,1,a,Leicester,112259,71,SavedShot,Riyad Mahrez,750,,DirectFreekick,LeftFoot,Standard,0.7340000152587891,0.479000015258789,0.0538371987640857
