league,season,match_id,date,home_team,away_team,home_goals,away_goals,h_a,team,shot_id,minute,result,player,player_id,player_assisted,situation,shotType,lastAction,X,Y,xG
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,a,Tottenham,545903,4,MissedShots,Christian Eriksen,646,Harry Kane,OpenPlay,LeftFoot,Chipped,0.901999969482422,0.61,0.2973036766052246
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,a,Tottenham,545904,11,BlockedShot,Harry Kane,647,Christian Eriksen,OpenPlay,RightFoot,Pass,0.879000015258789,0.2470000076293945,0.0303755104541778
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,a,Tottenham,545905,11,BlockedShot,Toby Alderweireld,639,Christian Eriksen,FromCorner,Head,Cross,0.865999984741211,0.4970000076293945,0.0210388395935297
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,a,Tottenham,545906,11,MissedShots,Harry Kane,647,,FromCorner,RightFoot,Rebound,0.830999984741211,0.4329999923706055,0.0533996634185314
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,a,Tottenham,545907,17,SavedShot,Kyle Walker,638,Christian Eriksen,OpenPlay,RightFoot,Chipped,0.9359999847412108,0.3529999923706055,0.0730578526854515
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,a,Tottenham,545908,21,OwnGoal,Kyle Walker,638,,OpenPlay,LeftFoot,Tackle,0.095,0.499000015258789,0.0
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,h,Manchester United,545909,27,BlockedShot,Juan Mata,554,,DirectFreekick,LeftFoot,Standard,0.794000015258789,0.4209999847412109,0.1043467223644256
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,h,Manchester United,545910,27,BlockedShot,Memphis Depay,555,Ashley Young,SetPiece,RightFoot,Pass,0.86,0.6270000076293946,0.064342200756073
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,h,Manchester United,545911,35,BlockedShot,Juan Mata,554,Wayne Rooney,OpenPlay,LeftFoot,Pass,0.8430000305175781,0.3329999923706054,0.057156816124916
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,h,Manchester United,545912,35,MissedShots,Juan Mata,554,,OpenPlay,LeftFoot,Tackle,0.8480000305175781,0.5329999923706055,0.0921413898468017
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,h,Manchester United,545913,40,BlockedShot,Memphis Depay,555,Michael Carrick,OpenPlay,RightFoot,BallRecovery,0.8119999694824219,0.7069999694824218,0.0357420146465301
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,a,Tottenham,545914,46,SavedShot,Toby Alderweireld,639,,SetPiece,RightFoot,None,0.8490000152587891,0.6719999694824219,0.0359582528471946
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,h,Manchester United,545915,49,MissedShots,Memphis Depay,555,Wayne Rooney,OpenPlay,LeftFoot,Pass,0.725,0.545,0.0212246645241975
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,h,Manchester United,545916,64,SavedShot,Ashley Young,631,,OpenPlay,RightFoot,None,0.8959999847412109,0.5970000076293945,0.1030042618513107
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,h,Manchester United,545917,72,MissedShots,Wayne Rooney,629,Matteo Darmian,OpenPlay,RightFoot,Cross,0.89,0.534000015258789,0.1065130606293678
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,h,Manchester United,545918,76,MissedShots,Wayne Rooney,629,,DirectFreekick,RightFoot,Standard,0.7469999694824219,0.6940000152587891,0.0430676527321338
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,a,Tottenham,545919,83,SavedShot,Christian Eriksen,646,Toby Alderweireld,OpenPlay,LeftFoot,Chipped,0.933000030517578,0.720999984741211,0.0364912301301956
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,a,Tottenham,545920,87,BlockedShot,Harry Kane,647,Christian Eriksen,SetPiece,Head,Cross,0.901999969482422,0.499000015258789,0.0984154790639877
EPL,2015,81,2015-08-08 15:45:00,Manchester United,Tottenham,1,0,a,Tottenham,545921,88,SavedShot,Christian Eriksen,646,Erik Lamela,OpenPlay,RightFoot,Pass,0.8209999847412109,0.354000015258789,0.029682794585824
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,h,Bournemouth,487134,19,MissedShots,Marc Pugh,466,Simon Francis,OpenPlay,Head,Aerial,0.9009999847412108,0.5279999923706055,0.0478710010647773
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,h,Bournemouth,487135,24,MissedShots,Matt Ritchie,461,Joshua King,OpenPlay,LeftFoot,Pass,0.7580000305175781,0.3959999847412109,0.0224238000810146
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,a,Aston Villa,487136,26,MissedShots,Idrissa Gueye,668,Jordan Veretout,OpenPlay,RightFoot,Pass,0.7419999694824219,0.5979999923706054,0.0182690992951393
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,h,Bournemouth,487137,28,BlockedShot,Joshua King,465,Andrew Surman,OpenPlay,RightFoot,Pass,0.754000015258789,0.3170000076293945,0.0209429003298282
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,h,Bournemouth,487138,32,MissedShots,Andrew Surman,460,Matt Ritchie,OpenPlay,LeftFoot,Pass,0.7769999694824219,0.3859999847412109,0.0240359995514154
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,h,Bournemouth,487139,36,MissedShots,Dan Gosling,462,,OpenPlay,RightFoot,Dispossessed,0.8930000305175781,0.4759999847412109,0.4157530069351196
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,h,Bournemouth,487140,40,SavedShot,Callum Wilson,468,Andrew Surman,OpenPlay,RightFoot,Throughball,0.8969999694824219,0.3179999923706054,0.1161729991436004
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,a,Aston Villa,487141,42,BlockedShot,Leandro Bacuna,674,,DirectFreekick,RightFoot,Standard,0.7859999847412109,0.4370000076293945,0.0973708033561706
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,h,Bournemouth,487142,44,MissedShots,Joshua King,465,Andrew Surman,OpenPlay,RightFoot,Pass,0.8769999694824219,0.6559999847412109,0.0540846996009349
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,h,Bournemouth,487143,46,SavedShot,Marc Pugh,466,Simon Francis,SetPiece,RightFoot,HeadPass,0.9059999847412108,0.485,0.0988041013479232
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,a,Aston Villa,487144,47,SavedShot,Idrissa Gueye,668,Gabriel Agbonlahor,OpenPlay,LeftFoot,Pass,0.8830000305175781,0.5609999847412109,0.1136680021882057
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,h,Bournemouth,487145,60,BlockedShot,Callum Wilson,468,Charlie Daniels,OpenPlay,RightFoot,Chipped,0.835,0.7730000305175782,0.0153938001021742
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,a,Aston Villa,487146,67,BlockedShot,Gabriel Agbonlahor,890,,OpenPlay,LeftFoot,None,0.86,0.5029999923706054,0.0754842981696128
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,a,Aston Villa,487147,67,MissedShots,Rudy Gestede,671,,OpenPlay,RightFoot,Rebound,0.935,0.3259999847412109,0.0526796989142894
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,a,Aston Villa,487148,71,Goal,Rudy Gestede,671,Ashley Westwood,FromCorner,Head,Cross,0.93,0.5029999923706054,0.3740819990634918
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,h,Bournemouth,487149,75,MissedShots,Andrew Surman,460,,SetPiece,LeftFoot,None,0.835,0.6329999923706054,0.040378101170063
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,a,Aston Villa,487150,81,SavedShot,Gabriel Agbonlahor,890,Micah Richards,OpenPlay,LeftFoot,TakeOn,0.795,0.5070000076293946,0.0546761006116867
EPL,2015,82,2015-08-08 18:00:00,Bournemouth,Aston Villa,0,1,h,Bournemouth,487151,82,MissedShots,Matt Ritchie,461,Andrew Surman,OpenPlay,RightFoot,Chipped,0.8490000152587891,0.2629999923706054,0.020245999097824
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,a,Watford,51553,12,BlockedShot,Troy Deeney,574,Miguel Layún,OpenPlay,RightFoot,LayOff,0.884000015258789,0.4559999847412109,0.1245639994740486
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,a,Watford,51554,12,BlockedShot,Troy Deeney,574,Jurado,OpenPlay,RightFoot,TakeOn,0.774000015258789,0.595999984741211,0.0302600003778934
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,a,Watford,51555,13,Goal,Miguel Layún,1016,,OpenPlay,RightFoot,None,0.8869999694824219,0.46,0.0935399979352951
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,h,Everton,51556,18,SavedShot,Gareth Barry,590,Kevin Mirallas,FromCorner,Head,Cross,0.9180000305175782,0.4870000076293945,0.0972732976078987
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,h,Everton,51557,23,BlockedShot,Ross Barkley,592,Tom Cleverley,OpenPlay,LeftFoot,Pass,0.7619999694824219,0.475,0.0275899991393089
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,h,Everton,51558,29,MissedShots,Ross Barkley,592,Gareth Barry,OpenPlay,LeftFoot,Pass,0.730999984741211,0.4359999847412109,0.0186350997537374
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,h,Everton,51559,30,SavedShot,Ross Barkley,592,Tom Cleverley,OpenPlay,RightFoot,Pass,0.8680000305175781,0.7519999694824219,0.0267168004065752
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,a,Watford,51560,40,SavedShot,Etienne Capoue,572,Jurado,OpenPlay,LeftFoot,Pass,0.7480000305175781,0.375,0.0234593003988266
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,a,Watford,51561,45,MissedShots,Miguel Layún,1016,,OpenPlay,RightFoot,Aerial,0.81,0.735999984741211,0.0151124000549316
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,h,Everton,51562,49,MissedShots,Romelu Lukaku,594,Ross Barkley,FromCorner,Head,Cross,0.9390000152587892,0.5770000076293945,0.2133949995040893
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,h,Everton,51563,55,BlockedShot,Kevin Mirallas,595,,OpenPlay,RightFoot,Aerial,0.7659999847412109,0.715,0.0101560996845364
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,a,Watford,51564,64,BlockedShot,Ikechi Anya,577,Etienne Capoue,OpenPlay,LeftFoot,Pass,0.9359999847412108,0.7140000152587891,0.0784830972552299
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,a,Watford,51565,66,SavedShot,José Holebas,568,Ikechi Anya,OpenPlay,LeftFoot,Pass,0.7609999847412109,0.7440000152587891,0.017960000783205
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,a,Watford,51566,66,MissedShots,Jurado,582,,OpenPlay,RightFoot,Rebound,0.785,0.415,0.0314191989600658
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,h,Everton,51567,67,MissedShots,Arouna Koné,601,Tom Cleverley,OpenPlay,Head,Cross,0.916999969482422,0.4229999923706055,0.0767420977354049
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,h,Everton,51568,75,Goal,Ross Barkley,592,Arouna Koné,OpenPlay,RightFoot,Pass,0.7580000305175781,0.585,0.0192703995853662
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,a,Watford,51569,76,SavedShot,Troy Deeney,574,José Holebas,OpenPlay,Head,Cross,0.850999984741211,0.5309999847412109,0.0178468991070985
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,a,Watford,51570,82,Goal,Odion Ighalo,573,Troy Deeney,OpenPlay,RightFoot,TakeOn,0.8419999694824218,0.4970000076293945,0.1141759976744651
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,h,Everton,51571,85,Goal,Arouna Koné,601,Romelu Lukaku,OpenPlay,RightFoot,Pass,0.933000030517578,0.33,0.0695161968469619
EPL,2015,83,2015-08-08 18:00:00,Everton,Watford,2,2,a,Watford,51572,86,MissedShots,Ikechi Anya,577,Ben Watson,OpenPlay,RightFoot,TakeOn,0.7219999694824218,0.6329999923706054,0.0116357998922467
