league,season,match_id,date,home_team,away_team,home_goals,away_goals,h_a,team,shot_id,minute,result,player,player_id,player_assisted,situation,shotType,lastAction,X,Y,xG
EPL,2023,22275,2023-08-11 19:00:00,Burnley,Manchester City,0,3,a,Manchester City,531929,3,Goal,Erling Haaland,8260,Rodri,FromCorner,LeftFoot,HeadPass,0.936999969482422,0.5059999847412109,0.5058456659317017
EPL,2023,22275,2023-08-11 19:00:00,Burnley,Manchester City,0,3,a,Manchester City,531930,5,MissedShots,Kevin De Bruyne,447,Phil Foden,OpenPlay,RightFoot,Pass,0.7190000152587891,0.3890000152587891,0.0188944488763809
EPL,2023,22275,2023-08-11 19:00:00,Burnley,Manchester City,0,3,a,Manchester City,531931,10,MissedShots,Erling Haaland,8260,Kevin De Bruyne,OpenPlay,RightFoot,Cross,0.9519999694824218,0.4209999847412109,0.1302468031644821
EPL,2023,22275,2023-08-11 19:00:00,Burnley,Manchester City,0,3,h,Burnley,531932,14,MissedShots,Luca Koleosho,10620,Vitinho,OpenPlay,RightFoot,Pass,0.86,0.635,0.0580548197031021
EPL,2023,22275,2023-08-11 19:00:00,Burnley,Manchester City,0,3,h,Burnley,531933,17,SavedShot,Zeki Amdouni,11701,Luca Koleosho,OpenPlay,LeftFoot,Pass,0.8859999847412109,0.6719999694824219,0.0612575747072696
EPL,2023,22275,2023-08-11 19:00:00,Burnley,Manchester City,0,3,h,Burnley,531934,28,MissedShots,Lyle Foster,7498,,OpenPlay,LeftFoot,TakeOn,0.87,0.750999984741211,0.0171117633581161
EPL,2023,22275,2023-08-11 19:00:00,Burnley,Manchester City,0,3,a,Manchester City,531935,35,Goal,Erling Haaland,8260,Julián Álvarez,OpenPlay,LeftFoot,Pass,0.8909999847412109,0.385,0.1132136583328247
EPL,2023,22275,2023-08-11 19:00:00,Burnley,Manchester City,0,3,h,Burnley,531936,36,BlockedShot,Lyle Foster,7498,Luca Koleosho,OpenPlay,RightFoot,Pass,0.86,0.455,0.0976164042949676
EPL,2023,22275,2023-08-11 19:00:00,Burnley,Manchester City,0,3,a,Manchester City,531937,45,SavedShot,Phil Foden,6055,Mateo Kovacic,OpenPlay,LeftFoot,TakeOn,0.8980000305175782,0.4820000076293945,0.1686996072530746
EPL,2023,22275,2023-08-11 19:00:00,Burnley,Manchester City,0,3,a,Manchester City,531938,51,BlockedShot,Erling Haaland,8260,Julián Álvarez,OpenPlay,LeftFoot,Throughball,0.9440000152587892,0.6819999694824219,0.1327562630176544
