league,season,match_id,date,home_team,away_team,home_goals,away_goals,h_a,team,shot_id,minute,result,player,player_id,player_assisted,situation,shotType,lastAction,X,Y,xG
EPL,2018,9197,2018-08-10 22:00:00,Manchester United,Leicester,2,1,h,Manchester United,232811,1,BlockedShot,Alexis Sánchez,498,Luke Shaw,OpenPlay,RightFoot,Pass,0.8630000305175781,0.710999984741211,0.039962101727724
EPL,2018,9197,2018-08-10 22:00:00,Manchester United,Leicester,2,1,h,Manchester United,232812,2,Goal,Paul Pogba,1740,,Penalty,RightFoot,Standard,0.885,0.5,0.7611690163612366
EPL,2018,9197,2018-08-10 22:00:00,Manchester United,Leicester,2,1,a,Leicester,232813,14,SavedShot,Wilfred Ndidi,5545,,OpenPlay,RightFoot,None,0.755,0.5320000076293945,0.0224163997918367
EPL,2018,9197,2018-08-10 22:00:00,Manchester United,Leicester,2,1,a,Leicester,232814,24,BlockedShot,Wilfred Ndidi,5545,James Maddison,OpenPlay,RightFoot,Pass,0.7809999847412109,0.3529999923706055,0.0241505000740289
EPL,2018,9197,2018-08-10 22:00:00,Manchester United,Leicester,2,1,a,Leicester,232815,28,SavedShot,James Maddison,6818,Ricardo Pereira,OpenPlay,RightFoot,Pass,0.8880000305175781,0.4,0.0885408967733383
EPL,2018,9197,2018-08-10 22:00:00,Manchester United,Leicester,2,1,a,Leicester,232816,28,BlockedShot,Ricardo Pereira,3303,,FromCorner,RightFoot,None,0.715,0.4909999847412109,0.0137823997065424
EPL,2018,9197,2018-08-10 22:00:00,Manchester United,Leicester,2,1,a,Leicester,232817,31,BlockedShot,James Maddison,6818,,DirectFreekick,RightFoot,Standard,0.7290000152587891,0.5029999923706054,0.051163800060749
EPL,2018,9197,2018-08-10 22:00:00,Manchester United,Leicester,2,1,h,Manchester United,232818,39,SavedShot,Paul Pogba,1740,Alexis Sánchez,OpenPlay,RightFoot,Pass,0.7240000152587891,0.655,0.0183958001434803
EPL,2018,9197,2018-08-10 22:00:00,Manchester United,Leicester,2,1,h,Manchester United,232819,40,SavedShot,Luke Shaw,1006,Juan Mata,OpenPlay,RightFoot,Chipped,0.88,0.6530000305175782,0.0812148973345756
EPL,2018,9197,2018-08-10 22:00:00,Manchester United,Leicester,2,1,a,Leicester,232820,49,BlockedShot,Kelechi Iheanacho,620,Daniel Amartey,OpenPlay,LeftFoot,Pass,0.785,0.3220000076293945,0.0242982991039752
EPL,2018,9197,2018-08-10 22:00:00,Manchester United,Leicester,2,1,h,Manchester United,232821,55,SavedShot,Matteo Darmian,557,Alexis Sánchez,OpenPlay,RightFoot,Pass,0.7809999847412109,0.33,0.0283087994903326
EPL,2018,9197,2018-08-10 22:00:00,Manchester United,Leicester,2,1,h,Manchester United,232822,64,MissedShots,Juan Mata,554,Alexis Sánchez,OpenPlay,LeftFoot,Pass,0.8130000305175781,0.4759999847412109,0.0761256963014602
EPL,2018,9197,2018-08-10 22:00:00,Manchester United,Leicester,2,1,a,Leicester,232823,74,SavedShot,Demarai Gray,762,Jamie Vardy,OpenPlay,RightFoot,Cross,0.926999969482422,0.4620000076293945,0.111965000629425
