league,season,match_id,date,home_team,away_team,home_goals,away_goals,h_a,team,shot_id,minute,result,player,player_id,player_assisted,situation,shotType,lastAction,X,Y,xG
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,h,Fulham,376477,6,SavedShot,Denis Odoi,7077,Ivan Cavaleiro,OpenPlay,LeftFoot,Pass,0.785,0.2489999961853027,0.0205275006592273
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,a,Arsenal,376478,7,MissedShots,Granit Xhaka,204,Pierre-Emerick Aubameyang,OpenPlay,LeftFoot,Pass,0.8480000305175781,0.6020000076293945,0.0643524974584579
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,a,Arsenal,376479,7,SavedShot,Willian,700,,OpenPlay,RightFoot,Rebound,0.9540000152587892,0.4929999923706055,0.6487820148468018
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,a,Arsenal,376480,8,Goal,Alexandre Lacazette,3277,,OpenPlay,LeftFoot,Rebound,0.9740000152587892,0.47,0.758089005947113
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,h,Fulham,376481,9,BlockedShot,Neeskens Kebano,6840,Ivan Cavaleiro,OpenPlay,RightFoot,Cross,0.933000030517578,0.3420000076293945,0.0454294010996818
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,a,Arsenal,376482,20,BlockedShot,Mohamed Elneny,496,Alexandre Lacazette,OpenPlay,RightFoot,Pass,0.8630000305175781,0.4870000076293945,0.1101519986987114
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,a,Arsenal,376483,20,MissedShots,Granit Xhaka,204,,OpenPlay,LeftFoot,Rebound,0.8180000305175781,0.5209999847412109,0.0572240985929966
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,a,Arsenal,376484,26,ShotOnPost,Willian,700,,DirectFreekick,RightFoot,Standard,0.8030000305175782,0.4970000076293945,0.1356340050697326
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,a,Arsenal,376485,36,SavedShot,Pierre-Emerick Aubameyang,318,Granit Xhaka,OpenPlay,LeftFoot,Chipped,0.924000015258789,0.6509999847412109,0.0817089974880218
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,a,Arsenal,376486,48,Goal,Gabriel,5613,Willian,FromCorner,OtherBodyPart,Cross,0.9490000152587892,0.4820000076293945,0.5060970187187195
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,h,Fulham,376487,55,MissedShots,Aboubakar Kamara,4866,,SetPiece,RightFoot,None,0.8130000305175781,0.3189999961853027,0.0206722002476453
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,a,Arsenal,376488,56,Goal,Pierre-Emerick Aubameyang,318,Willian,OpenPlay,RightFoot,Chipped,0.8719999694824219,0.6359999847412109,0.0943377986550331
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,a,Arsenal,376489,61,BlockedShot,Granit Xhaka,204,,DirectFreekick,LeftFoot,Standard,0.7340000152587891,0.4490000152587891,0.0526418983936309
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,h,Fulham,376490,66,SavedShot,Aleksandar Mitrovic,773,Franck Zambo,OpenPlay,RightFoot,Pass,0.8030000305175782,0.655,0.0342145003378391
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,a,Arsenal,376491,72,BlockedShot,Granit Xhaka,204,Willian,SetPiece,LeftFoot,Pass,0.794000015258789,0.5309999847412109,0.0341520011425018
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,a,Arsenal,376492,77,BlockedShot,Pierre-Emerick Aubameyang,318,Héctor Bellerín,OpenPlay,RightFoot,Pass,0.965999984741211,0.3579999923706055,0.1065339967608451
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,a,Arsenal,376493,77,MissedShots,Alexandre Lacazette,3277,Nicolas Pepe,FromCorner,Head,Cross,0.9690000152587892,0.41,0.0701839998364448
EPL,2020,14086,2020-09-12 11:30:00,Fulham,Arsenal,0,3,h,Fulham,376494,89,MissedShots,Bobby Reid,6827,,OpenPlay,RightFoot,None,0.595999984741211,0.2920000076293945,0.0054828501306474
EPL,2020,14087,2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,a,Southampton,376517,3,SavedShot,Jack Stephens,1735,James Ward-Prowse,FromCorner,Head,Cross,0.916999969482422,0.4720000076293945,0.0894664004445076
EPL,2020,14087,2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,h,Crystal Palace,376518,12,Goal,Wilfried Zaha,522,Andros Townsend,OpenPlay,RightFoot,Cross,0.92,0.5609999847412109,0.5024710297584534
EPL,2020,14087,2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,a,Southampton,376519,31,SavedShot,Danny Ings,986,,OpenPlay,Head,None,0.97,0.3240000152587891,0.0225255992263555
EPL,2020,14087,2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,h,Crystal Palace,376520,35,SavedShot,Cheikhou Kouyaté,532,Andros Townsend,SetPiece,RightFoot,Cross,0.905,0.5109999847412109,0.364996999502182
EPL,2020,14087,2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,a,Southampton,376521,45,SavedShot,Nathan Redmond,790,Che Adams,OpenPlay,RightFoot,Pass,0.8830000305175781,0.6459999847412109,0.0721065998077392
EPL,2020,14087,2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,a,Southampton,376522,52,SavedShot,Che Adams,7700,Jannik Vestergaard,SetPiece,RightFoot,HeadPass,0.9230000305175782,0.5279999923706055,0.5063689947128296
EPL,2020,14087,2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,a,Southampton,376523,55,BlockedShot,Danny Ings,986,Ryan Bertrand,OpenPlay,RightFoot,HeadPass,0.8669999694824219,0.5729999923706055,0.0678313970565795
EPL,2020,14087,2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,a,Southampton,376524,56,MissedShots,Nathan Redmond,790,Danny Ings,OpenPlay,LeftFoot,Pass,0.9009999847412108,0.66,0.0673941001296043
EPL,2020,14087,2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,a,Southampton,376525,73,MissedShots,James Ward-Prowse,843,,DirectFreekick,RightFoot,Standard,0.7859999847412109,0.77,0.0434179008007049
EPL,2020,14087,2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,h,Crystal Palace,376526,74,SavedShot,Jordan Ayew,672,Luka Milivojevic,SetPiece,Head,Cross,0.899000015258789,0.41,0.044727899134159
EPL,2020,14087,2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,h,Crystal Palace,376527,79,MissedShots,James McArthur,633,Luka Milivojevic,FromCorner,Head,Cross,0.91,0.45,0.0663262009620666
EPL,2020,14087,2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,a,Southampton,376528,86,MissedShots,James Ward-Prowse,843,,DirectFreekick,RightFoot,Standard,0.715,0.59,0.0411347001791
EPL,2020,14087,2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,h,Crystal Palace,376529,94,MissedShots,Wilfried Zaha,522,James McArthur,OpenPlay,RightFoot,TakeOn,0.906999969482422,0.639000015258789,0.417163997888565
EPL,2020,14087,2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,a,Southampton,376530,94,SavedShot,Danny Ings,986,Kyle Walker-Peters,OpenPlay,Head,Cross,0.9130000305175782,0.475,0.352427989244461
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,h,Liverpool,376602,2,BlockedShot,Mohamed Salah,1250,Sadio Mané,OpenPlay,LeftFoot,Pass,0.875,0.3470000076293945,0.0685561969876289
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,h,Liverpool,376603,3,Goal,Mohamed Salah,1250,,Penalty,LeftFoot,Standard,0.885,0.5,0.7611690163612366
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,h,Liverpool,376604,6,BlockedShot,Mohamed Salah,1250,Sadio Mané,OpenPlay,LeftFoot,Pass,0.86,0.3220000076293945,0.0608012005686759
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,a,Leeds,376605,11,Goal,Jack Harrison,8720,Kalvin Phillips,OpenPlay,RightFoot,TakeOn,0.8419999694824218,0.6070000076293945,0.0582460016012191
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,h,Liverpool,376606,19,Goal,Virgil van Dijk,833,Andrew Robertson,FromCorner,Head,Cross,0.9459999847412108,0.5420000076293945,0.4193130135536194
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,h,Liverpool,376607,24,SavedShot,Jordan Henderson,605,,OpenPlay,RightFoot,None,0.7340000152587891,0.374000015258789,0.0190702993422746
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,h,Liverpool,376608,28,BlockedShot,Naby Keita,5247,,OpenPlay,RightFoot,None,0.9359999847412108,0.359000015258789,0.0940660014748573
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,a,Leeds,376609,29,Goal,Patrick Bamford,822,,OpenPlay,RightFoot,None,0.8830000305175781,0.36,0.0553244017064571
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,h,Liverpool,376610,32,Goal,Mohamed Salah,1250,,SetPiece,LeftFoot,None,0.87,0.3920000076293945,0.0624270997941494
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,h,Liverpool,376611,39,BlockedShot,Sadio Mané,838,Georginio Wijnaldum,OpenPlay,RightFoot,Pass,0.8490000152587891,0.5570000076293945,0.1068800017237663
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,h,Liverpool,376612,39,BlockedShot,Sadio Mané,838,,OpenPlay,LeftFoot,Rebound,0.8619999694824219,0.56,0.0880884006619453
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,h,Liverpool,376613,48,SavedShot,Georginio Wijnaldum,771,Sadio Mané,OpenPlay,RightFoot,BallTouch,0.8909999847412109,0.5429999923706055,0.120679996907711
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,a,Leeds,376614,49,BlockedShot,Patrick Bamford,822,,OpenPlay,RightFoot,BallRecovery,0.7390000152587891,0.4329999923706055,0.0157523993402719
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,h,Liverpool,376615,52,BlockedShot,Mohamed Salah,1250,Trent Alexander-Arnold,FromCorner,RightFoot,Cross,0.915,0.409000015258789,0.0580398999154567
EPL,2020,14090,2020-09-12 16:30:00,Liverpool,Leeds,4,3,h,Liverpool,376616,52,MissedShots,Virgil van Dijk,833,Trent Alexander-Arnold,FromCorner,Head,Aerial,0.8859999847412109,0.575999984741211,0.0129100000485777
