league,season,match_id,date,home_team,away_team,home_goals,away_goals,h_a,team,shot_id,minute,result,player,player_id,player_assisted,situation,shotType,lastAction,X,Y,xG
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,h,Arsenal,158133,1,Goal,Alexandre Lacazette,3277,Mohamed Elneny,OpenPlay,Head,Chipped,0.885,0.5259999847412109,0.0436220988631248
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,a,Leicester,158134,3,MissedShots,Riyad Mahrez,750,,OpenPlay,LeftFoot,Aerial,0.8530000305175781,0.4670000076293945,0.0293732993304729
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,a,Leicester,158135,4,Goal,Shinji Okazaki,754,Harry Maguire,FromCorner,Head,HeadPass,0.975999984741211,0.4659999847412109,0.56243497133255
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,h,Arsenal,158136,7,MissedShots,Alex Oxlade-Chamberlain,966,Mesut Özil,OpenPlay,LeftFoot,TakeOn,0.8069999694824219,0.72,0.0179418008774518
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,h,Arsenal,158137,13,SavedShot,Alex Oxlade-Chamberlain,966,Mesut Özil,OpenPlay,RightFoot,Dispossessed,0.7859999847412109,0.6430000305175781,0.0289227999746799
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,h,Arsenal,158138,21,BlockedShot,Danny Welbeck,501,Mesut Özil,OpenPlay,LeftFoot,Pass,0.9059999847412108,0.605,0.3752239942550659
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,h,Arsenal,158139,21,MissedShots,Granit Xhaka,204,Mohamed Elneny,OpenPlay,LeftFoot,Pass,0.6759999847412109,0.5729999923706055,0.0108580999076366
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,h,Arsenal,158140,25,BlockedShot,Danny Welbeck,501,Mesut Özil,OpenPlay,RightFoot,Pass,0.8680000305175781,0.4479999923706054,0.1093479990959167
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,h,Arsenal,158141,26,SavedShot,Sead Kolasinac,342,Alexandre Lacazette,OpenPlay,LeftFoot,HeadPass,0.901999969482422,0.700999984741211,0.0583116002380847
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,h,Arsenal,158142,26,MissedShots,Mohamed Elneny,496,,FromCorner,RightFoot,None,0.7369999694824219,0.615,0.014478700235486
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,a,Leicester,158143,28,Goal,Jamie Vardy,755,Marc Albrighton,OpenPlay,RightFoot,Cross,0.9669999694824218,0.489000015258789,0.6482980251312256
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,a,Leicester,158144,32,MissedShots,Shinji Okazaki,754,Christian Fuchs,OpenPlay,Head,Aerial,0.9059999847412108,0.49,0.0547371990978717
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,h,Arsenal,158145,37,BlockedShot,Granit Xhaka,204,Mesut Özil,SetPiece,LeftFoot,Pass,0.725999984741211,0.5940000152587891,0.017316099256277
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,h,Arsenal,158146,46,BlockedShot,Alexandre Lacazette,3277,Mesut Özil,OpenPlay,RightFoot,Pass,0.855999984741211,0.5379999923706055,0.0763830989599227
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,h,Arsenal,158147,46,Goal,Danny Welbeck,501,Sead Kolasinac,OpenPlay,RightFoot,Pass,0.925,0.505,0.5296519994735718
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,h,Arsenal,158148,48,MissedShots,Mesut Özil,499,Héctor Bellerín,OpenPlay,LeftFoot,Pass,0.7519999694824219,0.4540000152587891,0.0199567005038261
EPL,2017,7119,2017-08-11 19:45:00,Arsenal,Leicester,4,3,a,Leicester,158149,54,MissedShots,Riyad Mahrez,750,,OpenPlay,RightFoot,None,0.7980000305175782,0.4570000076293945,0.0416116006672382
